prover ,funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, , funny.talk290.mlw.Pgm, 
fast.cvc3 ,Valid, 0.045, Valid, 0.042, Timeout, 5.008, Valid, 0.054, Valid, 0.074, Timeout, 5.020, Valid, 0.025, Valid, 0.036, Valid, 0.038, Valid, 0.036, Valid, 0.032, Valid, 0.028, Valid, 0.033, Valid, 0.111, Valid, 0.066, Valid, 0.033, Valid, 0.382, Valid, 0.030, Valid, 0.027
fast.alt-ergo ,Valid, 0.042, Valid, 0.069, Timeout, 4.995, Valid, 0.036, Valid, 0.033, Timeout, 5.015, Valid, 0.030, Valid, 0.031, Valid, 0.026, Valid, 0.023, Valid, 0.033, Valid, 0.023, Valid, 0.023, Timeout, 5.011, Valid, 2.704, Valid, 0.028, Valid, 1.529, Valid, 0.030, Valid, 0.018
